Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance in KM,Distance in miles
"Detroit, United States Of America - Seoul, Republic Of Korea",DTW,ICN,37.3,-107.75,37.45,126.66,10001.47,6200.91
"Geneva, Switzerland - Larnaca, Cyprus",GVA,LCA,48.2,16.37,34.88,33.63,2054.05,1273.51
"Moscow, Russia - New York, United States Of America",JFK,DME,51.5,-0.45,55.42,37.9,2542.39,1576.28
"Bombay, India - Delhi, India",BOM,DEL,19.1,72.86,28.66,77.26,1153.0,714.86
"Bombay, India - London, United Kingdom",BOM,LHR,19.1,72.86,51.47,-0.45,7210.72,4470.65
"Seoul, Republic Of Korea - Taipei, Taiwan",TPE,ICN,25.1,121.24,37.45,126.66,1465.93,908.88
"Barcelona, Spain - London, United Kingdom",LCY,BCN,51.5,0.05,41.3,2.08,1144.7,709.71
"Boston, United States Of America - New York, United States Of America",BOS,LGA,42.2,-71,40.77,-73.88,287.79,178.43
"Bombay, India - Calcutta, India",BOM,CCU,19.1,72.86,22.65,88.44,1665.16,1032.4
"Bermuda, Bermuda - London, United Kingdom",BDA,LGW,32.4,-64.69,51.16,-0.16,5540.75,3435.26
"Delhi, India - Madras, India",DEL,MAA,28.7,77.26,13.05,80.23,1767.1,1095.6
"Frankfurt, Germany - Hamburg, Germany",FRA,HAM,50.1,8.56,53.64,10.01,406.0,251.72
"Brussels, Belgium - Hamburg, Germany",HAM,BRU,53.6,10.01,50.89,4.48,482.01,298.85
"Nice, France - Zurich, Switzerland",ZRH,NCE,47.5,8.57,43.67,7.21,438.81,272.06
"Cuiaba, Brazil - Sao Paulo, Brazil",CGH,CGB,-23.6,-46.66,-15.65,-56.12,1326.92,822.69
"Little Rock, United States Of America - Newark, United States Of America",LIT,EWR,33.1,-88.31,40.69,-74.18,1510.64,936.6
"Boston, United States Of America - Paris, France",CDG,BOS,49,2.54,42.21,-71,5543.5,3436.97
"Amsterdam, Netherlands - Zurich, Switzerland",AMS,ZRH,52.3,4.75,47.45,8.57,604.59,374.85
"Milan, Italy - Munich, Germany",MUC,MXP,48.3,11.77,45.47,9.18,371.12,230.09
"Newark, United States Of America - Raleigh/durham, United States Of America",RDU,EWR,35.9,-78.79,40.69,-74.18,667.26,413.7
"London, United Kingdom - Seoul, Republic Of Korea",ICN,LHR,37.5,126.66,51.47,-0.45,8867.11,5497.61
"Colombo, Sri Lanka - Hong Kong, Hong Kong",HKG,CMB,22.3,113.94,7.18,79.89,4014.05,2488.71
"Birmingham, United States Of America - Newark, United States Of America",EWR,BHM,42.9,-83.53,33.56,-86.75,1075.73,666.95
"Atlanta, United States Of America - Stockholm, Sweden",ATL,ARN,52.3,4.75,60.74,15.85,1156.18,716.83
"Edinburgh, United Kingdom - Johannesburg, South Africa",EDI,JNB,51.5,-0.45,-26.13,28.23,9076.26,5627.28
"Amsterdam, Netherlands - Gothenburg, Sweden",GOT,AMS,59.6,16.49,52.31,4.75,1088.34,674.77
"Milan, Italy - Zurich, Switzerland",ZRH,MXP,47.5,8.57,45.47,9.18,230.5,142.91
"Frankfurt, Germany - Taipei, Taiwan",TPE,FRA,25.1,121.24,50.05,8.56,9363.08,5805.11
"Los Angeles, United States Of America - Paris, France",LAX,CDG,34.1,-118.24,49.01,2.54,9078.99,5628.97
"London, United Kingdom - New York, United States Of America",JFK,LHR,40.6,-73.79,51.47,-0.45,5543.95,3437.25
"Amsterdam, Netherlands - Copenhagen, Denmark",AMS,CPH,52.3,4.75,55.63,12.64,634.59,393.45
"Seoul, Republic Of Korea - Tokyo, Japan",GMP,HND,37.6,126.79,35.55,139.75,1178.52,730.68
"London, United Kingdom - Madrid, Spain",STN,MAD,51.9,0.26,40.46,-3.58,1305.49,809.4
"Dallas, United States Of America - Minneapolis, United States Of America",MSP,DFW,44.9,-93.2,32.87,-97.04,1377.91,854.3
"Shenzhen, China - Taipei, Taiwan",SZX,TPE,22.5,113.97,25.08,121.24,793.21,491.79
"Abu Dhabi, United Arab Emirates - Kuwait, Kuwait",KWI,AUH,29.3,47.97,24.42,54.64,855.37,530.33
"Seoul, Republic Of Korea - Taipei, Taiwan",ICN,TPE,37.5,126.66,25.08,121.24,1473.18,913.37
"Honolulu - Oahu, United States Of America - Los Angeles, United States Of America",LAX,HNL,34.1,-118.24,21.34,-157.92,4124.99,2557.49
"Chicago, United States Of America - Dallas, United States Of America",ORD,DFW,41.6,-98.93,32.87,-97.04,984.97,610.68
"Paris, France - Tokyo, Japan",CDG,NRT,49,2.54,35.75,140.39,9713.15,6022.15
"Berlin, Germany - London, United Kingdom",LHR,TXL,51.5,-0.45,52.55,13.29,945.85,586.43
"Aswan, Egypt - Cairo, Egypt",ASW,CAI,24.1,32.9,30.05,31.25,681.45,422.5
"Bermuda, Bermuda - London, United Kingdom",LGW,BDA,51.2,-0.16,32.37,-64.69,5542.68,3436.46
"Cape Town, South Africa - Singapore, Singapore",CPT,SIN,-34,18.59,1.34,103.98,9666.3,5993.11
"Melbourne, Australia - Singapore, Singapore",SIN,MEL,1.3,103.98,-37.67,144.85,6030.02,3738.61
"Manchester, United Kingdom - Paris, France",MAN,CDG,53.4,0.1,49.01,2.54,516.82,320.43
"Shanghai, China - Taipei-sung Shan, Taiwan",TSA,SHA,25.1,121.55,31.19,121.34,677.49,420.04
"Osaka, Japan - Rome, Italy",FCO,KIX,41.9,12.5,34.43,135.24,9717.14,6024.63
"Boston, United States Of America - Salt Lake City, United States Of America",BOS,SLC,42.2,-71,40.76,-111.89,3377.32,2093.94
"Los Angeles, United States Of America - Sydney, Australia",LAX,SYD,34.1,-118.24,-33.92,151.23,12077.47,7488.03
"Inverness, United Kingdom - London, United Kingdom",LGW,INV,51.2,-0.16,57.54,-4.06,748.57,464.11
"Hong Kong, Hong Kong - Osaka, Japan",HKG,KIX,22.3,113.94,34.43,135.24,2474.01,1533.89
"Bangalore, India - Madras, India",BLR,MAA,12.8,77.65,13.05,80.23,280.99,174.21
"Seoul, Republic Of Korea - Tokyo, Japan",GMP,HND,37.6,126.79,35.55,139.75,1178.52,730.68
"Minneapolis, United States Of America - Washington Dc, United States Of America",MSP,DCA,44.9,-93.2,38.85,-77.04,1493.92,926.23
"Paris, France - Rome, Italy",CDG,FCO,49,2.54,41.9,12.5,1105.89,685.65
"Lagos, Nigeria - Manchester, United Kingdom",LOS,MAN,51.5,-0.45,53.37,0.1,211.25,130.97
"New York, United States Of America - Rome, Italy",JFK,FCO,40.6,-73.79,41.9,12.5,6881.78,4266.7
"Osaka, Japan - Seattle, United States Of America",KIX,SEA,34.4,135.24,39.9,-75.59,11168.07,6924.2
"Doha, Qatar - Hong Kong, Hong Kong",HKG,DOH,22.3,113.94,25.27,51.56,6298.29,3904.94
"Cape Town, South Africa - Doha, Qatar",DOH,CPT,25.3,51.56,-33.97,18.59,7453.43,4621.13
"Hong Kong, Hong Kong - Singapore, Singapore",HKG,SIN,22.3,113.94,1.34,103.98,2567.49,1591.84
"Detroit, United States Of America - London, United Kingdom",LHR,DTW,51.5,-0.45,37.26,-107.75,7888.69,4890.99
"Chicago, United States Of America - Frankfurt, Germany",ORD,FRA,41.6,-98.93,50.05,8.56,7629.47,4730.27
"Billund, Denmark - Copenhagen, Denmark",BLL,CPH,55.8,9.15,55.63,12.64,219.4,136.03
"Berne, Switzerland - London, United Kingdom",LCY,BRN,51.5,0.05,46.91,7.5,743.24,460.81
"Hamburg, Germany - Manchester, United Kingdom",MAN,HAM,53.4,0.1,53.64,10.01,655.16,406.2
"Boston, United States Of America - London, United Kingdom",LHR,BOS,51.5,-0.45,42.21,-71,5249.36,3254.6
"Johannesburg, South Africa - Phalaborwa, South Africa",JNB,PHW,-26.1,28.23,-23.94,31.15,379.78,235.46
"Milan, Italy - Stuttgart, Germany",STR,MXP,54.4,13.52,45.47,9.18,1039.91,644.74
"Los Angeles, United States Of America - Turin, Italy",TRN,LAX,49,2.54,34.05,-118.24,9084.33,5632.28
"Hamburg, Germany - Newark, United States Of America",HAM,EWR,53.6,10.01,40.69,-74.18,6141.07,3807.46
"Amsterdam, Netherlands - Frankfurt, Germany",AMS,FRA,52.3,4.75,50.05,8.56,364.79,226.17
"Houston, United States Of America - Seoul, Republic Of Korea",ICN,IAH,35.8,140.39,29.98,-95.34,10666.82,6613.43
"Houston, United States Of America - Tokyo, Japan",IAH,NRT,30,-95.34,35.75,140.39,10669.03,6614.8
"Johannesburg, South Africa - Nairobi, Kenya",NBO,JNB,-1.3,36.81,-26.13,28.23,2909.64,1803.98
"Kuwait, Kuwait - London, United Kingdom",LHR,KWI,51.5,-0.45,29.25,47.97,4672.87,2897.18
"Austin, United States Of America - London, United Kingdom",LHR,AUS,32.9,-97.04,30.2,-97.67,306.1,189.78
"Bristol, United Kingdom - Leeds/bradford, United Kingdom",BRS,LBA,51.4,-2.71,53.87,-1.66,283.64,175.86
"Sydney, Australia - Wellington, New Zealand",SYD,WLG,-33.9,151.23,-41.33,174.81,2226.33,1380.32
"Boston, United States Of America - Pittsburgh, United States Of America",PIT,BOS,48.7,-94.74,42.21,-71,1977.26,1225.9
"Charlotte, United States Of America - Dallas, United States Of America",CLT,DFW,35.2,-80.95,32.87,-97.04,1503.36,932.08
"London, United Kingdom - Vienna, Austria",LHR,VIE,51.5,-0.45,48.2,16.37,1257.28,779.51
"Kuala Lumpur, Malaysia - Tokyo, Japan",NRT,KUL,35.8,140.39,2.76,101.71,5410.21,3354.33
"Bangkok, Thailand - Tokyo, Japan",BKK,HND,13.7,100.77,35.55,139.75,4583.53,2841.79
"Frankfurt, Germany - Stockholm, Sweden",FRA,ARN,50.1,8.56,60.74,15.85,1267.58,785.9
"Paris, France - Rome, Italy",CDG,FCO,49,2.54,41.9,12.5,1105.89,685.65
"Dubai, United Arab Emirates - Melbourne, Australia",MEL,DXB,-37.7,144.85,25.25,55.35,11647.74,7221.6
"Dubai, United Arab Emirates - Sydney, Australia",DXB,SYD,25.3,55.35,-33.92,151.23,12051.44,7471.89
"Bogota, Colombia - Buenos Aires, Argentina",EZE,BOG,-12,-77.11,4.7,-74.14,1885.77,1169.18
"Ft. Lauderdale, United States Of America - White Plains, United States Of America",HPN,FLL,41.1,-73.7,26.07,-80.13,1772.86,1099.17
"Chicago, United States Of America - Hartford/springfield, United States Of America",ORD,BDL,41.6,-98.93,41.93,-72.68,2168.9,1344.72
"Amsterdam, Netherlands - Sao Paulo, Brazil",GRU,AMS,49,2.54,52.31,4.75,399.62,247.76
"Los Angeles, United States Of America - New York, United States Of America",JFK,LAX,40.6,-73.79,34.05,-118.24,3954.55,2451.82
"Lisbon, Portugal - London, United Kingdom",LIS,LHR,38.8,-9.13,51.47,-0.45,1562.16,968.54
"Kuala Lumpur, Malaysia - Tokyo, Japan",KUL,NRT,2.8,101.71,35.75,140.39,5403.85,3350.39
"Dubai, United Arab Emirates - Entebbe/kampala, Uganda",DXB,EBB,25.3,51.56,0.04,32.44,3479.81,2157.48
"Dubai, United Arab Emirates - Los Angeles, United States Of America",LAX,DXB,34.1,-118.24,25.25,55.35,13381.05,8296.25
"Kuala Lumpur, Malaysia - Seoul, Republic Of Korea",KUL,ICN,1.3,103.98,37.45,126.66,4641.96,2878.02
"London, United Kingdom - Lugano, Switzerland",LUG,LHR,47.5,8.57,51.47,-0.45,786.17,487.43
"Entebbe/kampala, Uganda - Mombasa, Kenya",EBB,MBA,-1.3,36.81,-4,39.72,441.13,273.5
"London, United Kingdom - Oslo, Norway",LHR,OSL,51.5,-0.45,59.91,10.75,1165.87,722.84
"Bombay, India - Zurich, Switzerland",ZRH,BOM,47.5,8.57,19.09,72.86,6537.77,4053.42
"London, United Kingdom - Rome, Italy",LHR,FCO,51.5,-0.45,41.9,12.5,1450.02,899.01
"Doha, Qatar - Paris, France",CDG,DOH,49,2.54,25.27,51.56,4966.39,3079.16
"Hong Kong, Hong Kong - London, United Kingdom",HKG,LHR,22.3,113.94,51.47,-0.45,9632.42,5972.1
"Newark, United States Of America - Seattle, United States Of America",SEA,EWR,39.9,-75.59,40.69,-74.18,148.38,92.0
"Amsterdam, Netherlands - Prague, Czech Republic",PRG,AMS,50.1,14.43,52.31,4.75,717.08,444.59
"Beijing, China - Hangzhou, China",PEK,HGH,40.1,116.58,30.33,120.23,1135.55,704.04
"London, United Kingdom - New York, United States Of America",JFK,LHR,40.6,-73.79,51.47,-0.45,5543.95,3437.25
"Boston, United States Of America - London, United Kingdom",LHR,BOS,51.5,-0.45,42.21,-71,5249.36,3254.6
"Denver, United States Of America - Seoul, Republic Of Korea",DEN,ICN,34.1,-118.24,37.45,126.66,9612.0,5959.44
"Bombay, India - Tokyo, Japan",NRT,BOM,35.8,140.39,19.09,72.86,6786.94,4207.9
"Beijing, China - Shenyang, China",PEK,SHE,40.1,116.58,41.79,123.53,613.02,380.07
"Chicago, United States Of America - Seattle, United States Of America",ORD,SEA,41.6,-98.93,39.9,-75.59,1969.12,1220.85
"Bangalore, India - Delhi, India",BLR,DEL,12.8,77.65,28.66,77.26,1764.01,1093.69
"Delhi, India - Poona, India",PNQ,DEL,18.6,73.91,28.66,77.26,1169.32,724.98
"Accra, Ghana - Mauritius, Mauritius",ACC,MRU,25.3,55.35,-20.43,57.68,5091.17,3156.53
"Dubai, United Arab Emirates - Mauritius, Mauritius",MRU,DXB,-20.4,57.68,25.25,55.35,5082.29,3151.02
"Dallas, United States Of America - Miami, United States Of America",DFW,MIA,32.9,-97.04,33.4,-110.87,1287.79,798.43
"Beijing, China - Houston, United States Of America",PEK,IAH,37.6,-122.39,29.98,-95.34,2628.43,1629.63
"Mahe Island, Seychelles Islands - Nairobi, Kenya",NBO,SEZ,-1.3,36.81,-4.68,55.52,2111.02,1308.83
"London, United Kingdom - Verona, Italy",VRN,LGW,45.4,10.99,51.16,-0.16,1042.62,646.42
"San Francisco, United States Of America - Vilnius, Lithuania",VNO,SFO,50.1,8.56,37.61,-122.39,9143.86,5669.19
"Boston, United States Of America - Las Vegas, United States Of America",LAS,BOS,44.9,-93.2,42.21,-71,1807.93,1120.92
"Geneva, Switzerland - Zurich, Switzerland",ZRH,GVA,47.5,8.57,46.23,6.11,234.33,145.28
"Alma Ata, Kazakhstan - Tselinograd, Kazakhstan",ALA,TSE,43.4,77.03,51.03,71.48,945.67,586.32
"Athens, Greece - Rome, Italy",FCO,ATH,41.9,12.5,37.89,23.72,1054.83,653.99
"Cairo, Egypt - Riyadh, Saudi Arabia",RUH,CAI,24.9,46.71,30.05,31.25,1627.35,1008.96
"Newark, United States Of America - Tokyo, Japan",NRT,EWR,35.8,140.39,40.69,-74.18,10806.19,6699.84
"Detroit, United States Of America - Los Angeles, United States Of America",DTW,LAX,37.3,-107.75,34.05,-118.24,1013.39,628.3
"Calcutta, India - Delhi, India",CCU,DEL,22.7,88.44,28.66,77.26,1300.68,806.42
"Amsterdam, Netherlands - Edinburgh, United Kingdom",EDI,AMS,56,-3.34,52.31,4.75,667.01,413.55
"Monroe, United States Of America - New York, United States Of America",LGA,MLU,30,-95.34,32.51,-92.04,419.83,260.29
"Boston, United States Of America - Manchester, United Kingdom",MAN,BOS,51.5,-0.45,42.21,-71,5249.36,3254.6
"Frankfurt, Germany - Salzburg, Austria",FRA,SZG,50.1,8.56,47.79,13,413.55,256.4
"Milan, Italy - Rio De Janeiro, Brazil",LIN,GIG,41.9,12.5,-22.81,-43.24,9194.06,5700.32
"Guam, Guam - Seattle, United States Of America",SEA,GUM,35.8,140.39,13.48,144.75,2519.88,1562.33
"Frankfurt, Germany - Zurich, Switzerland",ZRH,FRA,47.5,8.57,50.05,8.56,283.55,175.8
"Dublin, Republic Of Ireland - Frankfurt, Germany",DUB,FRA,53.3,-6.25,50.05,8.56,1080.87,670.14
"Dublin, Republic Of Ireland - London, United Kingdom",LHR,DUB,51.5,-0.45,53.34,-6.25,443.17,274.77
"Lagos, Nigeria - London, United Kingdom",LOS,LHR,6.6,3.32,51.47,-0.45,5001.4,3100.87
"Baltimore, United States Of America - San Francisco, United States Of America",BWI,SFO,33.4,-112.03,37.61,-122.39,1047.27,649.31
"Atlanta, United States Of America - Memphis, United States Of America",MEM,ATL,33.1,-88.31,42.94,-83.53,1171.0,726.02
"Copenhagen, Denmark - Frankfurt, Germany",FRA,CPH,50.1,8.56,55.63,12.64,672.86,417.17
"Boston, United States Of America - Columbus, United States Of America",BOS,CMH,42.2,-71,40,-82.89,1024.94,635.46
"Sydney, Australia - Wellington, New Zealand",SYD,WLG,-33.9,151.23,-41.33,174.81,2226.33,1380.32
"Baltimore, United States Of America - Chicago, United States Of America",ORD,BWI,41.6,-98.93,39.18,-76.67,1898.94,1177.34
"San Francisco, United States Of America - Sydney, Australia",SFO,SYD,37.6,-122.39,-33.92,151.23,11941.87,7403.96
"Miami, United States Of America - San Francisco, United States Of America",MIA,SFO,30,-95.34,37.61,-122.39,2627.66,1629.15
"Shanghai, China - Washington Dc, United States Of America",DCA,PVG,40.7,-74.18,31.12,121.8,11861.59,7354.19
"Athens, Greece - Dubai, United Arab Emirates",ATH,DXB,37.9,23.72,25.25,55.35,3288.61,2038.94
"Los Angeles, United States Of America - Shanghai, China",PVG,LAX,31.1,121.8,34.05,-118.24,10422.5,6461.95
"Boston, United States Of America - Hong Kong, Hong Kong",HKG,BOS,41.6,-98.93,42.21,-71,2302.04,1427.26
"Amsterdam, Netherlands - Munich, Germany",MUC,AMS,48.3,11.77,52.31,4.75,668.32,414.36
"Singapore, Singapore - Sydney, Australia",SIN,SYD,1.3,103.98,-33.92,151.23,6293.67,3902.08
"Doha, Qatar - Paris, France",CDG,DOH,49,2.54,25.27,51.56,4966.39,3079.16
"Newark, United States Of America - Vilnius, Lithuania",EWR,VNO,50.1,8.56,54.64,25.28,1238.38,767.8
"Madrid, Spain - Newark, United States Of America",EWR,MAD,40.7,-74.18,40.46,-3.58,5789.43,3589.45
"Dallas, United States Of America - Denver, United States Of America",DFW,DEN,32.9,-97.04,39.77,-104.86,1035.57,642.05
"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98,15336.74,9508.78
"Cairo, Egypt - Dar Es Salaam, United Rep. Of Tanzania",CAI,DAR,30.1,31.25,-6.88,39.2,4198.64,2603.16
"Denpasar Bali, Indonesia - Singapore, Singapore",SIN,DPS,1.3,103.98,-8.74,115.17,1668.54,1034.49
"New York, United States Of America - Oslo, Norway",OSL,JFK,51.5,-0.45,40.64,-73.79,5540.14,3434.89
"Geneva, Switzerland - Istanbul, Turkey",IST,GVA,41,28.99,46.23,6.11,1923.69,1192.69
"Edinburgh, United Kingdom - London, United Kingdom",LCY,EDI,51.5,0.05,55.96,-3.34,543.6,337.03
"Stockholm, Sweden - Zurich, Switzerland",ARN,ZRH,60.7,15.85,47.45,8.57,1545.74,958.36
"Lisbon, Portugal - Madrid, Spain",MAD,LIS,40.5,-3.58,38.77,-9.13,512.6,317.81
"New York, United States Of America - Tampa, United States Of America",JFK,TPA,40.6,-73.79,27.97,-82.54,1616.13,1002.0
"Prague, Czech Republic - Sofia, Bulgaria",PRG,SOF,48.2,16.37,42.69,23.4,821.6,509.39
"Frankfurt, Germany - Paris, France",FRA,CDG,50.1,8.56,49.01,2.54,450.7,279.43
"Paris, France - Stockholm, Sweden",CDG,ARN,49,2.54,60.74,15.85,1552.2,962.36
"Seoul, Republic Of Korea - Stockholm, Sweden",ARN,ICN,51.5,-0.45,37.45,126.66,8869.35,5499.0
"Frankfurt, Germany - Seoul, Republic Of Korea",ICN,FRA,37.5,126.66,50.05,8.56,8550.35,5301.22
"Moscow, Russia - New York, United States Of America",JFK,DME,47.5,8.57,55.42,37.9,2193.57,1360.01
"Bombay, India - Boston, United States Of America",BOM,BOS,51.5,-0.45,42.21,-71,5249.36,3254.6
"Dubai, United Arab Emirates - Dublin, Republic Of Ireland",DXB,DUB,25.3,55.35,53.34,-6.25,5911.27,3664.99
"Boston, United States Of America - Los Angeles, United States Of America",BOS,LAX,42.2,-71,34.05,-118.24,4175.29,2588.68
"New York, United States Of America - Roanoke, United States Of America",LGA,ROA,40.8,-73.88,28.55,-81.68,1535.97,952.3
"Bombay, India - Poona, India",PNQ,BOM,18.6,73.91,19.09,72.86,123.2,76.38
"Lagos, Nigeria - Nairobi, Kenya",NBO,LOS,-1.3,36.81,6.58,3.32,3818.76,2367.63
"Chongqing, China - Shanghai, China",PVG,CKG,31.1,121.8,29.58,106.5,1476.78,915.6
